expression,result
(3 + 18) * (56 - 39),357
(7 + 85) * (68 - 6),5704
18^2,324
(11 + 27) * (75 - 27),1824
37 + 68,105
81 + 31,112
96^2,9216
33 + 53,86
(4 + 16) * 18,360
85 * 41,3485
(96 + 96) * (90 - 15),14400
85 * 19,1615
23^2,529
70^2,4900
47^2,2209
22 * 70,1540
95^2,9025
95 + 94,189
55 - 45,10
(40 + 69) * 43,4687
16 * 47,752
36^2,1296
96^2,9216
(25 + 7) * 60,1920
70^2,4900
89 + 100,189
30 * 32,960
73 * 90,6570
85 + 19,104
17^2,289
18 + 45,63
42^2,1764
72 + 27,99
43 + 83,126
74 + 51,125
70 + 96,166
65 - 34,31
(70 + 85) * (82 - 1),12555
81 * 101,8181
67 * 69,4623
23^2,529
30^2,900
45 - 27,18
72 - 31,41
96 - 69,27
40^2,1600
(94 + 47) * (59 - 56),423
91 * 86,7826
(14 + 23) * 33,1221
58 + 12,70
91^2,8281
87 * 60,5220
27 + 74,101
30 + 52,82
76 * 21,1596
23 * 93,2139
61 + 96,157
10^2,100
42 - 42,0
33 * 81,2673
77 * 80,6160
46 + 19,65
76 + 54,130
(53 + 90) * (56 - 7),7007
73 * 72,5256
46 + 49,95
(45 + 36) * (49 - 13),2916
69^2,4761
31^2,961
98 + 66,164
92^2,8464
42 * 26,1092
(59 + 49) * 11,1188
48 + 42,90
92^2,8464
70 + 39,109
64^2,4096
23^2,529
(30 + 24) * (99 - 96),162
85 - 56,29
(68 + 13) * (51 - 4),3807
(69 + 70) * 35,4865
40 - 23,17
32 + 91,123
90 - 47,43
28 + 66,94
66 * 64,4224
86 - 71,15
(5 + 48) * 15,795
69 - 17,52
68^2,4624
48 + 33,81
(43 + 79) * (84 - 3),9882
64 - 39,25
72 + 70,142
20 * 71,1420
87 + 36,123
60 * 83,4980
17^2,289
70 * 34,2380
17 + 77,94
66 - 41,25
72 * 16,1152
77 - 14,63
11 + 30,41
95 - 65,30
(50 + 69) * 75,8925
14 * 58,812
50 * 88,4400
88^2,7744
66 * 101,6666
(69 + 15) * 96,8064
34^2,1156
(94 + 52) * 54,7884
(53 + 73) * 61,7686
74 + 31,105
45 + 27,72
43^2,1849
(37 + 96) * (96 - 81),1995
95 * 96,9120
87 * 91,7917
(87 + 15) * 60,6120
29 + 31,60
62 * 77,4774
88 - 76,12
17^2,289
67 + 11,78
28 * 93,2604
(50 + 13) * 14,882
(32 + 81) * (26 - 3),2599
(44 + 97) * 8,1128
97 + 20,117
67 + 71,138
51 * 79,4029
82 + 33,115
71 * 46,3266
(11 + 62) * 12,876
68 - 17,51
46^2,2116
63 * 39,2457
(67 + 73) * (76 - 7),9660
11 + 87,98
77 + 48,125
92 - 62,30
15 + 92,107
64^2,4096
25 + 38,63
71 - 19,52
97^2,9409
51 + 18,69
(75 + 45) * (74 - 44),3600
91^2,8281
(69 + 13) * 5,410
(67 + 91) * 31,4898
87 + 99,186
31 - 21,10
82^2,6724
89 * 86,7654
95 * 36,3420
37 * 94,3478
92 + 76,168
88 - 84,4
(20 + 1) * 48,1008
(8 + 55) * (59 - 26),2079
12^2,144
76 + 91,167
54^2,2916
85^2,7225
47 * 43,2021
46 * 81,3726
13^2,169
73 * 43,3139
66^2,4356
85 * 38,3230
64 * 53,3392
64 - 33,31
79 - 44,35
(70 + 2) * 93,6696
47 + 47,94
40 * 21,840
86^2,7396
15 * 102,1530
(5 + 46) * (91 - 42),2499
(30 + 16) * 35,1610
81^2,6561
61^2,3721
12 + 18,30
94^2,8836
97^2,9409
(32 + 9) * 75,3075
22^2,484
61 + 81,142
30 * 39,1170
28 + 38,66
(67 + 45) * 46,5152
54^2,2916
31 + 58,89
(63 + 70) * 48,6384
80^2,6400
20 * 30,600
80 * 34,2720
41 * 68,2788
26^2,676
29 * 35,1015
34 * 70,2380
63 + 96,159
53^2,2809
93 + 52,145
56 * 92,5152
35 + 99,134
61 - 23,38
70 + 89,159
39 - 30,9
93 - 91,2
44^2,1936
(69 + 34) * 60,6180
30 * 93,2790
55 + 96,151
51^2,2601
54 * 26,1404
(9 + 28) * 68,2516
12 + 49,61
12 + 39,51
54 + 97,151
81 - 15,66
(33 + 34) * 11,737
(26 + 12) * (92 - 28),2432
74^2,5476
(20 + 50) * 59,4130
(36 + 21) * (82 - 81),57
(98 + 52) * (51 - 26),3750
(66 + 27) * (66 - 28),3534
44 + 63,107
97 - 93,4
88 * 13,1144
74 + 41,115
(58 + 55) * (76 - 19),6441
66^2,4356
4 + 6,10
(80 + 26) * 43,4558
69 - 35,34
83^2,6889
20 * 40,800
76 * 16,1216
21^2,441
12^2,144
60 * 93,5580
89 + 11,100
34 * 38,1292
81 - 72,9
62 - 14,48
(3 + 25) * 69,1932
83 * 93,7719
21^2,441
97 + 59,156
95^2,9025
95 + 55,150
24 * 23,552
26 + 20,46
83 + 99,182
89^2,7921
55 + 69,124
96 * 29,2784
67 + 14,81
31 + 51,82
95 + 14,109
62^2,3844
88 + 43,131
56 * 23,1288
21^2,441
13 - 12,1
28^2,784
28 + 95,123
78 + 63,141
52 + 70,122
77 - 59,18
(11 + 49) * 80,4800
87 * 18,1566
64^2,4096
35 * 19,665
59 * 103,6077
(36 + 12) * 70,3360
(85 + 44) * 1,129
50 + 98,148
78 - 70,8
(82 + 86) * (93 - 46),7896
67^2,4489
(66 + 57) * 23,2829
22 * 10,220
47 + 24,71
(41 + 18) * 8,472
23 * 68,1564
12^2,144
34 * 34,1156
84 * 51,4284
(20 + 69) * 72,6408
71 * 47,3337
16 * 65,1040
29^2,841
79 + 44,123
(94 + 64) * 92,14536
64 - 14,50
23 * 22,506
36 + 93,129
30 + 93,123
(64 + 22) * (49 - 15),2924
70 - 65,5
53 - 48,5
53^2,2809
(53 + 66) * 95,11305
56^2,3136
12 * 40,480
26 * 20,520
47 - 29,18
83 * 72,5976
(3 + 91) * (96 - 29),6298
54 * 73,3942
50 - 16,34
57 - 22,35
66^2,4356
66^2,4356
62 + 87,149
10 + 74,84
73^2,5329
(40 + 16) * 57,3192
16 * 40,640
35 - 26,9
68 * 87,5916
(32 + 69) * 77,7777
42 * 32,1344
18 * 74,1332
92 - 84,8
68 / 17,4
67 - 30,37
99 * 83,8217
52 + 43,95
(92 + 59) * (36 - 16),3020
30 * 40,1200
60 * 75,4500
30 * 98,2940
(8 + 11) * 70,1330
86^2,7396
(6 + 40) * (45 - 45),0
49 * 61,2989
72 * 98,7056
95 - 57,38
84 + 70,154
64 * 19,1216
77^2,5929
91 + 15,106
80 + 93,173
89 - 81,8
76^2,5776
63 * 45,2835
26 * 49,1274
29^2,841
85 * 74,6290
(77 + 94) * (44 - 26),3078
85 - 53,32
(54 + 85) * 15,2085
88 * 83,7304
28^2,784
(92 + 85) * 3,531
43 * 15,645
14 + 94,108
35 * 52,1820
36 + 52,88
56 / 28,2
93 + 46,139
15 * 59,885
99^2,9801
89^2,7921
75^2,5625
23 - 14,9
58 * 38,2204
22 + 23,45
(16 + 72) * 89,7832
22^2,484
41 * 52,2132
96 * 79,7584
22^2,484
91 + 28,119
24 * 50,1200
21 * 65,1365
43 + 83,126
23 * 43,989
(48 + 22) * 41,2870
83 + 44,127
89 * 11,979
(18 + 74) * (69 - 20),4508
52 * 20,1040
15^2,225
22 + 70,92
99 + 86,185
(61 + 55) * 76,8816
43 * 18,774
91 * 58,5278
39^2,1521
60^2,3600
93 * 69,6417
42 * 32,1344
47^2,2209
83 * 63,5229
33 - 20,13
65 * 36,2340
73 + 95,168
51 - 22,29
31 * 30,930
47 - 47,0
77 - 48,29
55 - 22,33
92^2,8464
45^2,2025
56^2,3136
13 + 80,93
90 - 37,53
65 * 83,5395
67 - 10,57
43 * 83,3569
54 + 18,72
19 * 64,1216
69 * 35,2415
38 * 86,3268
77 * 43,3311
(76 + 11) * (66 - 32),2958
35 + 25,60
56 - 34,22
24 + 37,61
95 - 67,28
25^2,625
12 * 70,840
99^2,9801
(5 + 78) * 26,2158
85^2,7225
35^2,1225
(68 + 31) * 1,99
24^2,576
59 - 25,34
40^2,1600
85 * 47,3995
52^2,2704
12 * 76,912
74^2,5476
35 + 99,134
80 * 60,4800
64 - 18,46
99 - 54,45
65 + 83,148
14^2,196
95 - 94,1
86^2,7396
8 + 10,18
75 - 28,47
48 * 18,864
(5 + 28) * (98 - 71),891
73 - 57,16
(13 + 45) * 48,2784
35 * 75,2625
98^2,9604
65^2,4225
42 + 26,68
50 * 51,2550
44^2,1936
85 + 70,155
(41 + 67) * (71 - 66),540
25^2,625
31 + 37,68
44 * 17,748
84 + 51,135
87^2,7569
55 * 43,2365
93^2,8649
6 + 11,17
(40 + 20) * 97,5820
67 * 30,2010
(70 + 88) * (72 - 60),1896
63 - 60,3
54^2,2916
77^2,5929
31 + 31,62
15 * 92,1380
50 - 46,4
92 - 15,77
69^2,4761
15 + 90,105
87 * 99,8613
22 * 25,550
18 * 54,972
62^2,3844
45^2,2025
80 - 60,20
(3 + 92) * (30 - 5),2375
49 + 37,86
89^2,7921
(28 + 68) * 33,3168
51 - 46,5
85 * 20,1700
33 + 57,90
36^2,1296
80 - 46,34
56 + 82,138
89 * 81,7209
(19 + 78) * 25,2425
(7 + 29) * (61 - 7),1944
48^2,2304
65 * 23,1495
12 + 31,43
65 + 71,136
(99 + 74) * 65,11245
78^2,6084
17 * 51,867
(20 + 82) * 51,5202
(80 + 48) * 44,5632
56 + 17,73
62^2,3844
95 + 34,129
99 + 42,141
94 - 17,77
56 + 78,134
(14 + 70) * 23,1932
27 * 94,2538
20 + 48,68
82 + 94,176
62 + 56,118
40 * 23,920
21 + 43,64
57^2,3249
46 + 81,127
38 - 21,17
84 - 22,62
63^2,3969
62 * 66,4092
81 - 65,16
70 - 21,49
85 * 102,8670
54^2,2916
83 + 86,169
33^2,1089
(99 + 47) * 18,2628
41 + 54,95
10 * 97,970
38 + 32,70
32 + 47,79
21 * 54,1134
29 - 17,12
76^2,5776
41^2,1681
72 / 18,4
(13 + 2) * (78 - 57),315
(9 + 79) * (88 - 64),2112
76 + 54,130
4 + 5,9
58 * 50,2900
80 * 46,3680
26 * 99,2574
81 - 27,54
15 + 92,107
(80 + 19) * 68,6732
39 + 14,53
63 - 25,38
98 - 30,68
(91 + 31) * (82 - 59),2806
81 * 15,1215
96 - 86,10
65 + 32,97
44 - 17,27
86^2,7396
96 - 81,15
41 + 12,53
(66 + 43) * 47,5123
(42 + 56) * 56,5488
95^2,9025
99 + 29,128
21 + 96,117
